date,etf,ltp,inav,premium_pct,sma_5,sma_20
2026-07-02,GOLDBEES,117.69,,,,
2026-07-03,GOLDBEES,120.31,118.82,1.25,1.25,1.25
2026-07-02,MAFANG,188.36,188.36,0.0,0.0,0.0
2026-07-03,MAFANG,190.81,190.81,0.0,0.0,0.0
2026-07-02,MIDCAPETF,23.45,23.45,0.0,0.0,0.0
2026-07-03,MIDCAPETF,23.41,23.41,0.0,0.0,0.0
2026-07-02,MON100,335.9,342.7,-1.98,-1.98,-1.98
2026-07-03,MON100,332.78,338.23,-1.61,-1.8,-1.8
2026-07-02,NIFTYBEES,274.27,274.27,0.0,0.0,0.0
2026-07-03,NIFTYBEES,275.91,275.91,0.0,0.0,0.0
2026-07-02,SILVERBEES,216.28,,,,
2026-07-03,SILVERBEES,221.31,,,,
